epoch,train_loss,val_mae_mm,seconds
1,0.10023,9.386,107
2,0.04341,7.889,84
3,0.03488,6.446,91
4,0.02958,8.932,121
5,0.02748,6.369,104
6,0.02367,5.493,89
7,0.02237,5.715,101
8,0.02000,5.423,89
9,0.02010,5.097,93
10,0.01740,6.012,106
11,0.01723,5.012,117
12,0.01498,4.552,94
13,0.01569,5.509,123
14,0.01424,4.489,133
15,0.01317,4.339,139
16,0.01317,4.393,154
17,0.01203,4.344,138
18,0.01117,4.614,128
19,0.01121,4.413,136
20,0.00998,4.376,139
21,0.00953,4.477,142
22,0.00943,4.655,151
23,0.00890,4.335,108
24,0.00854,4.347,122
25,0.00793,4.390,124
26,0.00770,4.325,116
27,0.00737,4.264,112
28,0.00682,4.390,110
29,0.00680,4.340,109
30,0.00660,4.252,112
31,0.00650,4.317,124
32,0.00621,4.391,111
33,0.00615,4.333,113
34,0.00613,4.338,111
35,0.00603,4.325,116
